Atraco Tactico - Reporte de Entrenamiento IA
Fecha: 2026-04-21T22:04:14
Nivel: level_1
Config: poblacion=15, generaciones=10, seleccion=tournament, cruce=uniform, mutacion=0.35x0.48, pesos(a/s/o/p)=1.00/1.00/1.35/1.10

Resumen:
- Gen 1: best=14283.5 | kills=5/5 | dmg=330 | stuck=42f | osc=0 | hongos=0 | success=47%
- Gen 2: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=67%
- Gen 3: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=93%
- Gen 4: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=53%
- Gen 5: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=60%
- Gen 6: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=60%
- Gen 7: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=60%
- Gen 8: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=73%
- Gen 9: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=73%
- Gen 10: best=14325.0 | kills=5/5 | dmg=330 | stuck=40f | osc=0 | hongos=0 | success=73%
- Validacion final: PASO | kills=5/5 | dmg=330 | sim_t=83.7s | real_t=0.6s | stuck_max=40f | osc=0 | hongos=0

Detalle por individuo:
- gen=6/10 | ind=4/15 | fit=9338.29 | kills=4/5 | dmg=280 | sim_t=200.00s | real_t=1.25s | frames=12000 | stuck=41f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=6/10 | ind=5/15 | fit=14302.21 | kills=5/5 | dmg=330 | sim_t=86.67s | real_t=0.59s | frames=5200 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=6/10 | ind=6/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.57s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=6/10 | ind=7/15 | fit=6689.37 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.88s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=6/10 | ind=8/15 | fit=14287.55 | kills=5/5 | dmg=330 | sim_t=87.25s | real_t=0.64s | frames=5235 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=6/10 | ind=9/15 | fit=6653.17 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.72s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=6/10 | ind=10/15 | fit=14320.95 | kills=5/5 | dmg=330 | sim_t=86.15s | real_t=0.59s | frames=5169 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=6/10 | ind=11/15 | fit=6693.84 | kills=3/5 | dmg=190 | sim_t=200.00s | real_t=1.83s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=6/10 | ind=12/15 | fit=9219.26 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.30s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=6/10 | ind=13/15 | fit=14298.98 | kills=5/5 | dmg=330 | sim_t=80.53s | real_t=0.57s | frames=4832 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=6/10 | ind=14/15 | fit=9242.35 | kills=4/5 | dmg=250 | sim_t=200.00s | real_t=1.39s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=6/10 | ind=15/15 | fit=14297.23 | kills=5/5 | dmg=330 | sim_t=91.78s | real_t=0.67s | frames=5507 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=7/10 | ind=1/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.58s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=7/10 | ind=2/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.62s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=7/10 | ind=3/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.59s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=7/10 | ind=4/15 | fit=14230.47 | kills=5/5 | dmg=330 | sim_t=105.20s | real_t=0.81s | frames=6312 | stuck=47f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=7/10 | ind=5/15 | fit=4376.95 | kills=2/5 | dmg=155 | sim_t=200.00s | real_t=1.42s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=7/10 | ind=6/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.58s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=7/10 | ind=7/15 | fit=2020.12 | kills=1/5 | dmg=125 | sim_t=68.38s | real_t=0.53s | frames=4103 | stuck=57f | osc=0 | hongos=0 | ok=NO | motivo=dead
- gen=7/10 | ind=8/15 | fit=14272.41 | kills=5/5 | dmg=330 | sim_t=90.28s | real_t=0.62s | frames=5417 | stuck=43f | osc=0 | hongos=0 | ok=SI | motivo=completed
- gen=7/10 | ind=9/15 | fit=4260.59 | kills=2/5 | dmg=140 | sim_t=200.00s | real_t=2.19s | frames=12000 | stuck=40f | osc=0 | hongos=0 | ok=NO | motivo=timeout
- gen=7/10 | ind=10/15 | fit=1911.65 | kills=1/5 | dmg=110 | sim_t=71.88s | real_t=0.56s | frames=4313 | stuck=59f | osc=0 | hongos=0 | ok=NO | motivo=dead
- gen=7/10 | ind=11/15 | fit=14324.96 | kills=5/5 | dmg=330 | sim_t=83.72s | real_t=0.60s | frames=5023 | stuck=40f | osc=0 | hongos=0 | ok=SI | motivo=completed
